Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
20,K807,P.S. 163 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,208842,$0.00 ,DSF: 0000777043
20,K940,I.S. 30 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,10/10/2014,10/10/2014,10/10/2014,7350,2749,"$2,749.00 ",DSF: 0000798402
20,K940,I.S. 30 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,10/10/2014,2/10/2015,1/5/2015,20825,13373,"$13,373.00 ",DSF: 0000798402
20,K940,I.S. 30 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,3/16/2015,9/11/2015,7/17/2015,280525,257800,"$254,900.00 ",DSF: 0000798402
20,K940,I.S. 30 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,3/16/2015,9/11/2015,7/17/2015,53900,26669,"$26,669.00 ",DSF: 0000798402
20,K971,P.S. 971 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,189121,$0.00 ,DSF: 0000777053
21,K043,I.S. 98 - BROOKLYN,SCA CIP,INTERIOR/CLIMATE/AUDITORIUM/HEATING/FLOOD/FIRE ALA,Scope,Complete,2/5/2014,7/8/2014,3/31/2014,296673,175118,"$175,118.00 ","DSF: 0000778487, 0000778489, 0000799431, 0000799432, 0000799458, 0000799906"
21,K043,I.S. 98 - BROOKLYN,SCA CIP,INTERIOR/CLIMATE/AUDITORIUM/HEATING/FLOOD/FIRE ALA,Design,Complete,3/31/2014,9/30/2014,8/27/2014,1176745,700295,"$590,561.00 ","DSF: 0000778487, 0000778489, 0000799431, 0000799432, 0000799458, 0000799906"
21,K043,I.S. 98 - BROOKLYN,SCA CIP,INTERIOR/CLIMATE/AUDITORIUM/HEATING/FLOOD/FIRE ALA,Construction,In-Progress,2/17/2015,2/15/2017,,21936436,19890273,"$3,400,043.00 ","DSF: 0000778487, 0000778489, 0000799431, 0000799432, 0000799458, 0000799906"
21,K043,I.S. 98 - BROOKLYN,SCA CIP,INTERIOR/CLIMATE/AUDITORIUM/HEATING/FLOOD/FIRE ALA,"CM, F&E",In-Progress,2/17/2015,2/15/2017,,1407212,373246,"$373,246.00 ","DSF: 0000778487, 0000778489, 0000799431, 0000799432, 0000799458, 0000799906"
21,K043,I.S. 98 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,6/5/2014,6/5/2014,6/5/2014,23115,7920,"$7,920.00 ",DSF: 0000778485
21,K043,I.S. 98 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,6/5/2014,10/6/2014,8/13/2014,92460,26031,"$26,031.00 ",DSF: 0000778485
21,K043,I.S. 98 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,12/15/2014,9/10/2015,9/10/2015,1733625,1631010,"$1,515,298.00 ",DSF: 0000778485
21,K043,I.S. 98 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,12/15/2014,9/10/2015,9/10/2015,107870,139317,"$139,317.00 ",DSF: 0000778485
21,K043,I.S. 98 - BROOKLYN,Fast Track Projects,EMERGENCY PROTECTIVE MEASURES - HURRICANE SANDY,Construction,In-Progress,10/31/2012,FTK,,FTK,1547509,"$1,475,216.00 ",DSF: 0000023485
21,K043,I.S. 98 - BROOKLYN,DOE- RESOA,FY 14 RESO A ELECTRICAL UPGRADE,Construction,In-Progress,5/5/2014,DOER,,250000,240000,"$204,485.00 ",DSF: 0000777396
21,K043,I.S. 98 - BROOKLYN,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,100000,100000,$0.00 ,DSF: 0000798824
21,K043,I.S. 98 - BROOKLYN,DOE - Skilled Trades,NON SANDY STAGE RIGGING,Construction,In-Progress,11/8/2014,DOES,,DOES,49738,$0.00 ,DSF: 0000821587
21,K043,I.S. 98 - BROOKLYN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,9/23/2015,DOES,,DOES,97194,"$1,654.00 ",DSF: 0000822141
21,K090,P.S. 90 - BROOKLYN,SCA CIP,SANDY:FLOOD/ELEC/HEATI/INTERIOR/ROOF/HVAC/CLIMATE,Scope,Complete,10/11/2013,3/19/2014,3/19/2014,305616,208065,"$207,474.00 ","DSF: 0000756589, 0000756596, 0000756597, 0000777684, 0000777685, 0000779064, 0000779077"
21,K090,P.S. 90 - BROOKLYN,SCA CIP,SANDY:FLOOD/ELEC/HEATI/INTERIOR/ROOF/HVAC/CLIMATE,Design,Complete,3/20/2014,8/19/2014,5/13/2014,1051901,606999,"$513,744.00 ","DSF: 0000756589, 0000756596, 0000756597, 0000777684, 0000777685, 0000779064, 0000779077"
21,K090,P.S. 90 - BROOKLYN,SCA CIP,SANDY:FLOOD/ELEC/HEATI/INTERIOR/ROOF/HVAC/CLIMATE,Construction,In-Progress,7/11/2014,7/9/2016,,16683851,15153954,"$12,010,628.00 ","DSF: 0000756589, 0000756596, 0000756597, 0000777684, 0000777685, 0000779064, 0000779077"
21,K090,P.S. 90 - BROOKLYN,SCA CIP,SANDY:FLOOD/ELEC/HEATI/INTERIOR/ROOF/HVAC/CLIMATE,"CM, F&E",In-Progress,7/11/2014,7/9/2016,,1487700,478888,"$467,861.00 ","DSF: 0000756589, 0000756596, 0000756597, 0000777684, 0000777685, 0000779064, 0000779077"
21,K090,P.S. 90 - BROOKLYN,Fast Track Projects,EMERGENCY PROTECTIVE MEASURES - HURRICANE SANDY,Construction,In-Progress,10/31/2012,FTK,,FTK,2420719,"$2,112,719.00 ","DSF: 0000023490, 0000028438"
21,K090,P.S. 90 - BROOKLYN,DOE - Skilled Trades,SANDY ELEVATOR,Construction,In-Progress,3/20/2013,DOES,,DOES,173628,"$151,963.00 ",DSF: 0000775946
21,K095,P.S. 95 - BROOKLYN,SCA CIP,PARAPET/ROOFS/EXT MASONRY,Scope,Complete,7/18/2013,1/3/2014,10/28/2013,82528,151250,"$147,823.00 ","DSF: 0000026515, 0000779171, 0000779172"
21,K095,P.S. 95 - BROOKLYN,SCA CIP,PARAPET/ROOFS/EXT MASONRY,Design,Complete,12/17/2013,5/20/2014,4/16/2014,303553,239976,"$228,481.00 ","DSF: 0000026515, 0000779171, 0000779172"
21,K095,P.S. 95 - BROOKLYN,SCA CIP,PARAPET/ROOFS/EXT MASONRY,Construction,In-Progress,8/11/2014,11/3/2015,,5351053,4859750,"$2,297,076.00 ","DSF: 0000026515, 0000779171, 0000779172"
21,K095,P.S. 95 - BROOKLYN,SCA CIP,PARAPET/ROOFS/EXT MASONRY,"CM, F&E",In-Progress,8/11/2014,11/3/2015,,445843,309410,"$309,410.00 ","DSF: 0000026515, 0000779171, 0000779172"
21,K095,P.S. 95 - BROOKLYN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,2/27/2015,DOES,,DOES,96858,"$87,424.00 ",DSF: 0000802497
21,K095,P.S. 95 - BROOKLYN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,9/23/2015,DOES,,DOES,144142,$862.00 ,DSF: 0000822143
21,K096,I.S. 96,SCA CIP,ELEC UPGRADE,Scope,Complete,6/2/2011,10/3/2011,7/7/2011,795,795,$795.00 ,DSF: 0000712580
21,K096,I.S. 96,SCA CIP,ELEC UPGRADE,Design,PNS,PNS,PNS,PNS,9931,9931,"$9,931.00 ",DSF: 0000712580
21,K096,I.S. 96,SCA CIP,ELEC UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0,$0.00 ,DSF: 0000712580
21,K096,I.S. 96,SCA CIP,ELEC UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,8298,8298,"$8,298.00 ",DSF: 0000712580
21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,$0.00 ,DSF: 0000822618
21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,21000,21000,$0.00 ,DSF: 0000822618
21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,308000,308000,$0.00 ,DSF: 0000822618
21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,21000,21000,$0.00 ,DSF: 0000822618
21,K096,I.S. 96 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,274650,$0.00 ,DSF: 0000776727
21,K096,I.S. 96 - BROOKLYN,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,6/30/2015,8/12/2015,8/27/2015,40000,39600,"$39,600.00 ",DSF: 0000800546
21,K096,I.S. 96 - BROOKLYN,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,6/30/2015,8/12/2015,8/27/2015,100000,98996,"$98,996.00 ",DSF: 0000800547
21,K096,I.S. 96 - BROOKLYN,DOE - Skilled Trades,ACE- STEAM SYSTEM UPGRADE,Construction,In-Progress,4/3/2015,DOES,,DOES,119854,"$119,854.00 ",DSF: 0000799798
21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,1398,"$1,398.00 ",DSF: 0000012191
21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,9/15/2003,9/15/2003,10/28/2003,2600,23667,"$23,667.00 ",DSF: 0000012191
21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,2/17/2004,12/29/2005,,77000,88645,"$53,856.00 ",DSF: 0000012191
21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,2/17/2004,12/29/2005,,12240,42590,"$36,032.00 ",DSF: 0000012191
21,K097,P.S. 97 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,263220,$0.00 ,DSF: 0000776728
21,K099,P.S. 99 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS /EXTERIOR DOORS,Scope,Complete,6/10/2013,10/24/2013,10/16/2013,66521,67664,"$67,664.00 ","DSF: 0000756759, 0000779234, 0000779245"
21,K099,P.S. 99 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS /EXTERIOR DOORS,Design,Complete,11/20/2013,4/24/2014,5/12/2014,263040,257801,"$231,153.00 ","DSF: 0000756759, 0000779234, 0000779245"
21,K099,P.S. 99 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS /EXTERIOR DOORS,Construction,In-Progress,8/11/2014,11/3/2015,,4892989,4989685,"$2,628,494.00 ","DSF: 0000756759, 0000779234, 0000779245"
21,K099,P.S. 99 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/PARAPETS /EXTERIOR DOORS,"CM, F&E",In-Progress,8/11/2014,11/3/2015,,317387,156150,"$132,543.00 ","DSF: 0000756759, 0000779234, 0000779245"
21,K099,P.S. 99 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,11/10/2014,2/25/2015,2/25/2015,DOEL,78484,"$78,484.00 ",DSF:
21,K099,P.S. 99 - BROOKLYN,DOE- RESOA,FY15 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,12/30/2014,DOER,,75000,59396,"$59,396.00 ",DSF: 0000800418
21,K099,P.S. 99 - BROOKLYN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,6/26/2015,DOES,,DOES,177271,"$2,446.00 ",DSF: 0000822144
21,K100,P.S. 100 - BROOKLYN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,10/9/2014,12/12/2014,11/5/2014,840,6091,"$6,091.00 ",DSF: 0000799688
27,Q410,BEACH CHANNEL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,5155,"$5,155.00 ",DSF: 0000012009
27,Q410,BEACH CHANNEL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,9/7/2006,4/15/2007,,77000,73695,"$73,523.00 ",DSF: 0000012009
27,Q410,BEACH CHANNEL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,9/7/2006,4/15/2007,,12240,19877,"$19,877.00 ",DSF: 0000012009
27,Q410,BEACH CHANNEL HS,Fast Track Projects,SANDY FIRE ALARM/SANDY PA SYSTEM,Construction,In-Progress,12/27/2013,FTK,,FTK,10294456,"$8,782,066.00 ","DSF: 0000745774, 0000768689"
27,Q410,BEACH CHANNEL HS - QUEENS,Fast Track Projects,EMERGENCY PROTECTIVE MEASURES - HURRICANE SANDY,Construction,In-Progress,10/31/2012,FTK,,FTK,11984825,"$11,873,265.00 ",DSF: 0000023478
27,Q410,CHANNEL VIEW SCHOOL FOR RESEAR,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,8/27/2015,9/18/2015,10/9/2015,100000,98773,"$98,773.00 ",DSF: 0000800904
27,Q410,CHANNEL VIEW SCL FOR RESEARCH,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,8/11/2015,DOES,,DOES,121743,"$121,743.00 ",DSF: 0000814698
27,Q411,BEACH CHANNEL HS - QUEENS,Fast Track Projects,SANDY REPAIRS-ATHLETIC FIELD,Construction,In-Progress,3/13/2014,FTK,,FTK,3308055,"$3,004,058.00 ",DSF: 0000799463
27,Q465,FAR ROCKAWAY HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,10/23/2014,12/26/2014,12/12/2014,8880,8002,"$8,002.00 ",DSF: 0000799633
27,Q465,FAR ROCKAWAY HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,12/17/2014,4/20/2015,4/14/2015,25160,42682,$0.00 ,DSF: 0000799633
27,Q465,FAR ROCKAWAY HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,6/19/2015,3/14/2016,,338920,432335,"$85,163.00 ",DSF: 0000799633
27,Q465,FAR ROCKAWAY HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,6/19/2015,3/14/2016,,65120,55944,"$19,453.00 ",DSF: 0000799633
27,Q465,FREDERICK DOUGLASS ACAD VI HS,SCA CIP,MASONRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUCTUR,Scope,Complete,6/5/2013,10/21/2013,1/22/2014,278369,171525,"$140,369.00 ","DSF: 0000026014, 0000791745, 0000791746, 0000791747, 0000791748"
27,Q465,FREDERICK DOUGLASS ACAD VI HS,SCA CIP,MASONRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUCTUR,Design,Complete,3/10/2014,8/7/2014,12/3/2014,1089283,477788,"$435,594.00 ","DSF: 0000026014, 0000791745, 0000791746, 0000791747, 0000791748"
27,Q465,FREDERICK DOUGLASS ACAD VI HS,SCA CIP,MASONRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUCTUR,Construction,PNS,PNS,PNS,PNS,20113857,20113857,"$37,360.00 ","DSF: 0000026014, 0000791745, 0000791746, 0000791747, 0000791748"
27,Q465,FREDERICK DOUGLASS ACAD VI HS,SCA CIP,MASONRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUCTUR,"CM, F&E",PNS,PNS,PNS,PNS,1354353,1354353,"$16,905.00 ","DSF: 0000026014, 0000791745, 0000791746, 0000791747, 0000791748"
27,Q465,QNS HS FOR INF. RESEARCH & TEC,SCA CIP RESOA,FY14 RESO A COMPUTER UPGRADE,Scope,Complete,6/23/2014,10/23/2014,10/27/2014,0,12607,"$12,607.00 ",DSF: 0000799237
27,Q465,QNS HS FOR INF. RESEARCH & TEC,SCA CIP RESOA,FY14 RESO A COMPUTER UPGRADE,Design,Complete,11/3/2014,3/30/2015,3/31/2015,55500,53735,"$52,110.00 ",DSF: 0000799237
27,Q465,QNS HS FOR INF. RESEARCH & TEC,SCA CIP RESOA,FY14 RESO A COMPUTER UPGRADE,Construction,PNS,PNS,PNS,PNS,814000,814000,"$10,156.00 ",DSF: 0000799237
27,Q465,QNS HS FOR INF. RESEARCH & TEC,SCA CIP RESOA,FY14 RESO A COMPUTER UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,213415,160651,"$76,532.00 ",DSF: 0000799237
27,Q465,FAR ROCKAWAY HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,60,$60.00 ,DSF: 0000012010
27,Q465,FAR ROCKAWAY HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,3657,"$3,657.00 ",DSF: 0000012010
27,Q465,FAR ROCKAWAY HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,8/18/2006,4/15/2007,,77000,234787,"$233,406.00 ",DSF: 0000012010
27,Q465,FAR ROCKAWAY HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,8/18/2006,4/15/2007,,12240,20713,"$20,713.00 ",DSF: 0000012010
27,Q465,ACAD. OF MEDICAL TECHNOLOGY -,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,6/18/2015,7/10/2015,8/7/2015,100000,98959,"$98,959.00 ",DSF: 0000800914
27,Q465,FAR ROCKAWAY HS - QUEENS,DOE- RESOA,FY15 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,7/17/2015,DOER,,150000,150000,"$49,754.00 ",DSF: 0000800437
27,Q465,QNS HS FOR INF. RESEARCH & TEC,DOE- RESOA,FY15 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,7/17/2015,DOER,,125000,125000,"$51,376.00 ",DSF: 0000800436
27,Q465,ACAD. OF MEDICAL TECHNOLOGY -,DOE- RESOA,FY15 RESO A LIBRARY UPGRADE,Construction,In-Progress,7/17/2015,DOER,,150000,150000,"$46,676.00 ",DSF: 0000800502
27,Q465,FREDERICK DOUGLASS ACADEMY VI,DOE - Skilled Trades,BATHROOM UPGRADE ROOMS 134 AND 123,Construction,In-Progress,8/11/2015,DOES,,DOES,116229,"$96,263.00 ",DSF: 0000791751
27,Q475,RICHMOND HILL HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/24/2014,9/24/2014,8/21/2014,8970,6300,"$6,300.00 ",DSF: 0000799634
27,Q475,RICHMOND HILL HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,8/21/2014,12/23/2014,1/12/2015,25415,25201,"$21,201.00 ",DSF: 0000799634
27,Q475,RICHMOND HILL HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,7/20/2015,4/14/2016,,342355,317588,"$275,082.00 ",DSF: 0000799634
27,Q475,RICHMOND HILL HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,7/20/2015,4/14/2016,,65780,1771,"$1,771.00 ",DSF: 0000799634
27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,STEEL DETERIORATED COLUMS & COLUMN,Scope,Complete,5/1/2014,9/12/2014,10/24/2014,26223,39677,"$38,465.00 ",DSF: 0000799900
27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,STEEL DETERIORATED COLUMS & COLUMN,Design,Complete,12/17/2014,5/20/2015,12/30/2015,104893,95495,"$58,348.00 ",DSF: 0000799900
27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,STEEL DETERIORATED COLUMS & COLUMN,Construction,PNS,PNS,PNS,PNS,1966746,1966746,"$6,558.00 ",DSF: 0000799900
27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,STEEL DETERIORATED COLUMS & COLUMN,"CM, F&E",PNS,PNS,PNS,PNS,122375,122375,"$7,813.00 ",DSF: 0000799900
27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,PLAYGROUND REDEVELOPMENT AND TCU REMOVAL,Scope,Complete,6/30/2014,9/29/2014,10/10/2014,65340,100102,"$99,996.00 ",DSF: 0000800122
27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,PLAYGROUND REDEVELOPMENT AND TCU REMOVAL,Design,Complete,10/14/2014,3/4/2015,3/19/2015,261360,344672,"$280,171.00 ",DSF: 0000800122
27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,PLAYGROUND REDEVELOPMENT AND TCU REMOVAL,Construction,In-Progress,7/6/2015,7/4/2016,,4900500,5103005,"$15,030.00 ",DSF: 0000800122
27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,PLAYGROUND REDEVELOPMENT AND TCU REMOVAL,"CM, F&E",In-Progress,7/6/2015,7/4/2016,,304920,85069,"$11,061.00 ",DSF: 0000800122
27,Q475,RICHMOND HILL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,693,$693.00 ,DSF: 0000011862
27,Q475,RICHMOND HILL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,40996,"$40,239.00 ",DSF: 0000011862
27,Q475,RICHMOND HILL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,10/13/2006,10/10/2006,,77000,105074,"$104,696.00 ",DSF: 0000011862
27,Q475,RICHMOND HILL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,10/13/2006,10/10/2006,,12240,25367,"$25,367.00 ",DSF: 0000011862
27,Q475,RICHMOND HILL HS - QUEENS,DOE - Skilled Trades,CTF ROOM CONVERSION,Construction,Complete,9/5/2014,12/21/2015,12/21/2015,DOES,1110000,"$869,635.00 ",DSF: 0000799973
27,Q475,RICHMOND HILL HS - QUEENS,DOE - Skilled Trades,CTF ROOM CONVERSION,Construction,In-Progress,9/2/2014,DOES,,DOES,370000,"$169,746.00 ",DSF: 0000799974
27,Q475,RICHMOND HILL HS - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,11/12/2015,DOES,,DOES,647906,"$439,501.00 ",DSF: 0000815038
27,Q480,JOHN ADAMS HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/25/2014,9/25/2014,8/21/2014,4860,6000,"$6,000.00 ",DSF: 0000799635
27,Q480,JOHN ADAMS HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,8/21/2014,12/23/2014,1/12/2015,13770,24000,"$20,667.00 ",DSF: 0000799635
27,Q480,JOHN ADAMS HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,6/24/2015,3/19/2016,9/4/2015,185490,188774,"$8,474.00 ",DSF: 0000799635
27,Q480,JOHN ADAMS HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,6/24/2015,3/19/2016,9/4/2015,35640,22398,"$6,184.00 ",DSF: 0000799635
27,Q480,JOHN ADAMS HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,192,$192.00 ,DSF: 0000012011
27,Q480,JOHN ADAMS HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,14901,"$14,901.00 ",DSF: 0000012011
27,Q480,JOHN ADAMS HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,7/15/2007,5/30/2008,,77000,137769,"$137,616.00 ",DSF: 0000012011
27,Q480,JOHN ADAMS HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,7/15/2007,5/30/2008,,12240,46027,"$46,027.00 ",DSF: 0000012011
27,Q480,JOHN ADAMS HS - QUEENS,DOE - Skilled Trades,CTF - SCHOOL BASED HEALTH CENTER,Construction,Complete,3/21/2014,5/28/2015,5/28/2015,DOES,541308,"$435,796.00 ",DSF: 0000775809
27,Q781,JOHN ADAMS HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,8/24/2015,8/24/2015,8/24/2015,59959,59959,"$59,959.00 ",DSF: 0000821793
27,Q781,JOHN ADAMS HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,8/24/2015,12/24/2015,10/9/2015,410,410,$410.00 ,DSF: 0000821793
27,Q781,JOHN ADAMS HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,PNS,PNS,PNS,PNS,6470,6470,"$6,470.00 ",DSF: 0000821793
27,Q781,JOHN ADAMS HS - QUEENS,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",PNS,PNS,PNS,PNS,2178,2178,"$2,178.00 ",DSF: 0000821793
27,Q806,P.S. 106 - QUEENS,SCA CIP,SANDY - DEMOLITION AND PAVED AREA,Scope,Complete,5/11/2015,8/10/2015,6/23/2015,27959,149891,"$2,709.00 ",DSF: 0000798645
27,Q806,P.S. 106 - QUEENS,SCA CIP,SANDY - DEMOLITION AND PAVED AREA,Design,Complete,6/23/2015,11/6/2015,9/15/2015,111834,102651,"$10,835.00 ",DSF: 0000798645
27,Q806,P.S. 106 - QUEENS,SCA CIP,SANDY - DEMOLITION AND PAVED AREA,Construction,PNS,PNS,PNS,PNS,2096895,2096895,"$6,601.00 ",DSF: 0000798645
27,Q806,P.S. 106 - QUEENS,SCA CIP,SANDY - DEMOLITION AND PAVED AREA,"CM, F&E",PNS,PNS,PNS,PNS,130473,130473,"$41,875.00 ",DSF: 0000798645
27,Q816,Q256 SPED - QUEENS,SCA CIP,SANDY: INTERIOR/HEAT/ELEC/FLOOD/MULTI-PURPOSE/PLAY,Scope,Complete,2/7/2014,7/10/2014,4/15/2014,117628,167314,"$148,668.00 ","DSF: 0000792133, 0000792135, 0000798629, 0000798630, 0000798631, 0000798632, 0000799930"
27,Q816,Q256 SPED - QUEENS,SCA CIP,SANDY: INTERIOR/HEAT/ELEC/FLOOD/MULTI-PURPOSE/PLAY,Design,In-Progress,4/16/2014,9/16/2014,,427800,441206,"$231,997.00 ","DSF: 0000792133, 0000792135, 0000798629, 0000798630, 0000798631, 0000798632, 0000799930"
27,Q816,Q256 SPED - QUEENS,SCA CIP,SANDY: INTERIOR/HEAT/ELEC/FLOOD/MULTI-PURPOSE/PLAY,Construction,PNS,PNS,PNS,PNS,7473588,7473588,"$77,026.00 ","DSF: 0000792133, 0000792135, 0000798629, 0000798630, 0000798631, 0000798632, 0000799930"
